#####################################################################
# Alchemist log file - simulation started at: 2024-01-16T13:54+0000 #
#####################################################################
#
# random = 6.0
#
# The columns have the following meaning: 
# time distance[mean] distance[std] 
0.0 408.08960720747314 136.10857677957742
0.0 408.08960720747314 136.10857677957742
1.0 408.08960720747314 136.10857677957742
2.0 408.02335334235164 136.2106310410523
3.0 407.9965008946249 136.2386585939223
4.0 407.82519361060207 136.44059975772007
5.0 407.5780544871886 136.70007649104946
6.0 407.26087019345505 136.9260930414531
7.0 406.9635316793555 137.15557139514598
8.0 406.4401160645187 137.3517435052038
9.0 405.6939029605256 137.39075008662968
10.0 404.8922571726648 137.32304309428184
11.0 404.01071810339005 137.1926006750452
12.0 403.19557090895955 137.10397059620928
13.0 402.33932169222777 137.05787341312333
14.0 401.46467450862133 137.0043764445577
15.0 400.56847191480597 136.90593434133112
16.0 399.6730784145748 136.80998879922336
17.0 398.7985990483139 136.72552086234865
18.0 397.94431302486737 136.62047223404983
19.0 397.13072394310484 136.53210339231492
20.0 396.3168001657125 136.4688012931083
21.0 395.4466296897554 136.39849620318404
22.0 394.5566033968818 136.29957599304694
23.0 393.7053933589536 136.1974130924529
24.0 392.8147717762784 136.09526355540518
25.0 391.90683898041135 136.00177206748893
26.0 391.0749962312415 135.89557459372057
27.0 390.2050989524335 135.78918828333767
28.0 389.3409891802983 135.73988084445202
29.0 388.45669919007634 135.61156134269223
30.0 387.5915559291122 135.50836567448647
31.0 386.68388822467017 135.37816059382732
32.0 385.84059274540283 135.29609024406372
33.0 384.9579557550305 135.20319685544263
34.0 384.07712294801223 135.10807579849006
35.0 383.1945183970466 134.9966033908778
36.0 382.31580449418954 134.9278195104541
37.0 381.45776146333924 134.8455112541587
38.0 380.59909639704756 134.73923886059737
39.0 379.7424364362859 134.6087365749325
40.0 378.86226586144016 134.47037701777094
41.0 378.0233056095373 134.37093002771405
42.0 377.1487545116379 134.29540964999893
43.0 376.25502803689346 134.18447124324447
44.0 375.36218666453095 134.07246410589295
45.0 374.5086879799817 133.9545274349859
46.0 373.6584319762465 133.8717492799504
47.0 372.8379873171961 133.7046069325424
48.0 371.96782423120203 133.59648148390306
49.0 371.07936348040727 133.47917998804246
50.0 370.23656990205603 133.3339388839636
51.0 369.36197714735846 133.1779145022977
52.0 368.5198605088661 133.06642502598595
53.0 367.6808410240001 132.95379872572732
54.0 366.8851602675498 132.7960663830503
55.0 366.0533837322998 132.66598587471742
56.0 365.1826771764572 132.5442561900862
57.0 364.3212875308872 132.40708843696143
58.0 363.4425675880013 132.27799036187736
59.0 362.58495412595045 132.165127834156
60.0 361.7477394447749 132.035907743489
61.0 360.87230865621706 131.9028640238662
62.0 360.0127333033391 131.74733956438905
63.0 359.16004657467374 131.6207265935864
64.0 358.3277318543316 131.4383249423205
65.0 357.4955693586617 131.2939459250536
66.0 356.66680809365886 131.1836444873191
67.0 355.8344627665997 130.98920474925777
68.0 355.0447233269189 130.86195199076437
69.0 354.2136989804955 130.75777715577757
70.0 353.3587219781173 130.59587863823776
71.0 352.5642640093986 130.4321411124719
72.0 351.7202081929861 130.25477530318477
73.0 350.87119554834004 130.08778948961668
74.0 350.0835798873502 129.9088850906258
75.0 349.2779792967101 129.77227003162832
76.0 348.47194559005374 129.64642637667325
77.0 347.64798975364175 129.49485193544484
78.0 346.82415134559125 129.32690365690877
79.0 345.9818946131865 129.15255962036494
80.0 345.17816216341106 128.97701561873347
81.0 344.3779563827141 128.83784661643526
82.0 343.56563380355254 128.61660224162398
83.0 342.7857022883745 128.38555357992064
84.0 341.9752961305742 128.21797169897798
85.0 341.1579381449234 128.0602969913061
86.0 340.33903278544705 127.91802312573527
87.0 339.52475173098406 127.73990303974999
88.0 338.6893125683344 127.558458367146
89.0 337.9159840164512 127.4354934326588
90.0 337.1084108250164 127.27906874638688
91.0 336.3318438691322 127.09260747256498
92.0 335.5234962130977 126.92573379020041
93.0 334.69712065924017 126.73525603011637
94.0 333.8909278445775 126.54639455216994
95.0 333.1209596234482 126.35597410403578
96.0 332.27975547983203 126.18074671725341
97.0 331.46717583244094 125.97765833088678
98.0 330.7206368522945 125.84327884720163
99.0 329.91927218673317 125.65519792632544
100.0 329.1534806865307 125.47274829466824
101.0 328.3746038735689 125.3333455723359
102.0 327.55683042268214 125.13487571538144
103.0 326.7979954842047 124.95858902954213
104.0 326.0402168963306 124.75934533924993
105.0 325.3326801017142 124.63505006576064
106.0 324.58673009793847 124.465876137628
107.0 323.7999184134664 124.24160333324451
108.0 323.0295795063094 124.01176820892917
109.0 322.2789432493273 123.87960056325838
110.0 321.52478590372203 123.6977304135817
111.0 320.7226476575184 123.484822549319
112.0 319.9534638865854 123.24485570010144
113.0 319.18518655187046 123.01067113943643
114.0 318.4054439458347 122.80133961160561
115.0 317.63143759940436 122.60885741661312
116.0 316.87609234957296 122.41170945693939
117.0 316.138630985963 122.20064266374837
118.0 315.39972190693055 121.97448040976774
119.0 314.60245472257435 121.75820169172826
120.0 313.83516886258855 121.53677573636226
121.0 313.0399014254842 121.32154656764531
122.0 312.2636057381438 121.09186511863636
123.0 311.49361272068467 120.90578327800186
124.0 310.7476077706602 120.71574214057398
125.0 309.9896076721091 120.4899383135575
126.0 309.2519012292235 120.28150670924077
127.0 308.48280425833326 120.04045027943418
128.0 307.7369128124103 119.80323663675082
129.0 307.0016963009331 119.53176727700126
130.0 306.30898549024374 119.3478929998514
131.0 305.58446546368333 119.09670076059699
132.0 304.82885474169524 118.84956419245647
133.0 304.1223338505559 118.67055328832531
134.0 303.40410537107476 118.47540526737154
135.0 302.6753322349774 118.29178581588712
136.0 301.9675972456245 118.08060660123733
137.0 301.2391687734102 117.87138096681426
138.0 300.48808418009895 117.6190518110455
139.0 299.78390537185993 117.4098853854842
140.0 299.0736075088161 117.15296010724819
141.0 298.33050433430975 116.9148900230096
142.0 297.56096300584574 116.67673301200213
143.0 296.8575177351984 116.46263140026142
144.0 296.1205911239001 116.17324232256193
145.0 295.3639998197261 115.92331025154856
146.0 294.66033663997956 115.68652281201673
147.0 293.94820202927707 115.4523067931975
148.0 293.21023433722934 115.21546544431654
149.0 292.4987302991055 114.9512795045274
150.0 291.7840358128547 114.68786426594774
151.0 291.0681593191726 114.4310307365045
152.0 290.3161295828923 114.17995789495605
153.0 289.60666131341884 113.95752798322452
154.0 288.89600957747695 113.74196797834627
155.0 288.15149655998243 113.48473649356889
156.0 287.48181851031325 113.26795565985098
157.0 286.7545510036629 113.03939832468375
158.0 286.03073411666276 112.79403680171946
159.0 285.3095410911507 112.55841571977281
160.0 284.6067788073589 112.3232501493665
161.0 283.8714971448186 112.06065203896242
162.0 283.1730210522408 111.78329681294308
163.0 282.4372533641659 111.52266241754016
164.0 281.7029990303383 111.26123213351389
165.0 280.9831992588961 110.98513468572047
166.0 280.31589537412816 110.77042314271013
167.0 279.6383622624274 110.56563368575645
168.0 278.92315766370024 110.28727385910581
169.0 278.1987237454112 110.02005072113155
170.0 277.5146706378295 109.73124080796481
171.0 276.8515150386496 109.47243451340071
172.0 276.20216600542426 109.2637475018193
173.0 275.48211456402754 108.99486296128985
