#####################################################################
# Alchemist log file - simulation started at: 2024-01-16T13:55+0000 #
#####################################################################
#
# random = 2.0
#
# The columns have the following meaning: 
# time distance[mean] distance[std] 
0.0 405.9826607587749 136.9837438889669
0.0 405.9826607587749 136.9837438889669
1.0 405.9826607587749 136.9837438889669
2.0 405.8866329498265 137.13502942937637
3.0 405.8467478970722 137.19456532006132
4.0 405.6307358979005 137.4627677213082
5.0 405.35029407246856 137.76877774076948
6.0 405.0071267522876 138.03003234531903
7.0 404.67385430666354 138.26825281470357
8.0 404.08032307259833 138.5196625280158
9.0 403.2261132906146 138.5805121375217
10.0 402.3747390953265 138.56517934772594
11.0 401.4383597555937 138.4782806251723
12.0 400.5656252641474 138.44935782050658
13.0 399.6516860845176 138.45896191768102
14.0 398.71739746800046 138.45638080506154
15.0 397.76198025642014 138.41185817302826
16.0 396.80705567757235 138.3765510852729
17.0 395.8730506812903 138.34763888347112
18.0 394.9599903565493 138.30409425734362
19.0 394.08816491398284 138.27533280076412
20.0 393.2161801625444 138.26955538338095
21.0 392.2835072122094 138.25648807077374
22.0 391.33026114600267 138.21477605731116
23.0 390.418241769704 138.17508422646333
24.0 389.46510086006657 138.13452881600344
25.0 388.4921109347619 138.10402969552578
26.0 387.60048969893575 138.053327097734
27.0 386.6675578516451 138.00607568934115
28.0 385.7370239205571 138.01961237068033
29.0 384.7858726475221 137.959543243578
30.0 383.85498229118406 137.923947174631
31.0 382.8816481099434 137.85627431631048
32.0 381.9723871561917 137.83926884979215
33.0 381.02208362050624 137.8145258691505
34.0 380.07238669220743 137.7903322831655
35.0 379.1223483357573 137.74518283487075
36.0 378.1733526301027 137.74590257048337
37.0 377.24517112000973 137.72797600506465
38.0 376.31701217435096 137.69260330858063
39.0 375.3894152760315 137.63479550262986
40.0 374.4401441581162 137.56364111055444
41.0 373.53189055254546 137.52985893200315
42.0 372.5846545151051 137.52550909431997
43.0 371.61714569529164 137.48712503599648
44.0 370.64999954704234 137.44821735746154
45.0 369.7240050495552 137.40377766103444
46.0 368.7991128483097 137.39809915602333
47.0 367.90939638448253 137.29402360311354
48.0 366.9625244904167 137.26524873424336
49.0 365.998858043172 137.2214694654668
50.0 365.09030060459077 137.1281883626738
51.0 364.14599567552165 137.02868897445327
52.0 363.22315474787644 137.0084220443162
53.0 362.31764047352067 136.9565438574347
54.0 361.43437560859167 136.8824841540495
55.0 360.4903394973866 136.80393167607232
56.0 359.5370252387604 136.71679159989125
57.0 358.5951205677568 136.65861819902545
58.0 357.6333213462805 136.612012749096
59.0 356.69203540396325 136.58757202637625
60.0 355.77096234959714 136.53851258437166
61.0 354.8093335833094 136.49181273384536
62.0 353.8690709739221 136.41276391820207
63.0 352.93059926564814 136.37261581012163
64.0 352.0266984321829 136.24844559449005
65.0 351.10974990127255 136.18818797095264
66.0 350.19396641955535 136.1668340358455
67.0 349.2702149151068 136.0582574254758
68.0 348.3928932525562 136.02326894254978
69.0 347.4572623737982 135.98227833086455
70.0 346.51227680123264 135.90713139492556
71.0 345.61779231816064 135.8501523574659
72.0 344.6785768227246 135.76606137505462
73.0 343.72400736023457 135.70905845207895
74.0 342.83196933063374 135.64324305219716
75.0 341.920084431789 135.61285579011442
76.0 341.0084556045183 135.5964706702226
77.0 340.0770936425272 135.55514794729436
78.0 339.1460679122618 135.50184242588824
79.0 338.1951897002643 135.43944292588034
80.0 337.28573315279175 135.37729712324193
81.0 336.3772815939303 135.35016589608364
