#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T14:51+0000 #
#####################################################################
#
# random = 10.0
#
# The columns have the following meaning: 
# time distance[mean] distance[std] 
0.0 405.3701727409787 138.24462597416965
0.0 405.3701727409787 138.24462597416965
1.0 405.3701727409787 138.24462597416965
2.0 405.2880840474686 138.37231456963298
3.0 405.25327828374924 138.42099672936004
4.0 405.0571762519473 138.65470889589534
5.0 404.7931678788309 138.93394624211018
6.0 404.4430602630982 139.18610169343464
7.0 404.1223894163873 139.420597236271
8.0 403.5652378411191 139.64117259116748
9.0 402.73991275946105 139.6760140722563
10.0 401.9087809501937 139.63029989318042
11.0 401.0004543890695 139.51521350217567
12.0 400.15647724611586 139.4529754104234
13.0 399.27159634919775 139.42768875298546
14.0 398.36710941709345 139.39062523514136
15.0 397.4414642894072 139.3147260831773
16.0 396.51652203724393 139.24501624510202
17.0 395.612610768145 139.18125869809225
18.0 394.7294130973712 139.10014612839078
19.0 393.8873194274884 139.03908836540867
20.0 393.0452069662445 139.00658390849978
21.0 392.1440693138047 138.95657676511817
22.0 391.22262151445125 138.87688182815182
23.0 390.34143499180124 138.80191300572656
24.0 389.420101325929 138.72588928112947
25.0 388.4799698114363 138.65769451523056
26.0 387.6188931195602 138.57289226431337
27.0 386.71796987923886 138.4914618943692
28.0 385.82106571998867 138.46527020434075
29.0 384.90366371087174 138.366560102716
30.0 384.0062831139205 138.29038918641334
31.0 383.0662852525195 138.18907085268629
32.0 382.19054981955986 138.13008875333813
33.0 381.27476621161526 138.06604458898707
34.0 380.3601848050918 138.00128978027868
35.0 379.4444854364678 137.91481169960952
36.0 378.531276408083 137.8749801795216
37.0 377.63882229283075 137.8125977359433
38.0 376.74615412302927 137.73205702026613
39.0 375.8546933255437 137.63349478689264
40.0 374.94070896185053 137.5215705228004
41.0 374.0678749669772 137.44638095151564
42.0 373.15781855563023 137.39870027801416
43.0 372.22803325705337 137.31714677743412
44.0 371.29889854429393 137.23477196224127
45.0 370.4104230987097 137.1461236421683
46.0 369.52390255991367 137.09686254047622
47.0 368.67070649088424 136.95158823007802
48.0 367.76408647134093 136.8758729874214
49.0 366.83818709916346 136.7894167843126
50.0 365.964278246721 136.65868943986314
51.0 365.0586350510752 136.51990564151757
52.0 364.17544805714897 136.4504577175686
53.0 363.30659764672504 136.35103462201914
54.0 362.46130585339796 136.23674270609732
55.0 361.5562017960628 136.11422700816757
56.0 360.62853079400315 136.00967616006992
57.0 359.7270252052035 135.9053284913061
58.0 358.8069106326008 135.81199264115784
59.0 357.907079896031 135.74018690834475
60.0 357.0701436614395 135.62970029197413
61.0 356.16674678592676 135.5513317255415
62.0 355.288651986456 135.42961366036494
63.0 354.391265543017 135.34464860530807
64.0 353.5449266731078 135.18955308701368
65.0 352.67072672553587 135.0836242851402
66.0 351.79862714240613 135.0107033336282
67.0 350.91321519680065 134.8638839209707
68.0 350.07425569824835 134.78373679784545
69.0 349.18585757705495 134.6885855139612
70.0 348.2726956457136 134.58859952645665
71.0 347.4267853239274 134.47529682704294
72.0 346.5394106638712 134.33086448055096
73.0 345.6457806087119 134.2003792770245
74.0 344.82863639099213 134.03698652384412
75.0 343.97729741528906 133.93363820074177
76.0 343.12878875072715 133.84356777924157
77.0 342.25156886895826 133.74010193838342
78.0 341.36596570061164 133.64057735285962
79.0 340.46029536497747 133.53148755300188
80.0 339.59753059751137 133.41795157077266
81.0 338.73696926409144 133.33676564431676
82.0 337.84210784074423 133.20730347627048
83.0 336.97815257497825 133.0710171470308
84.0 336.1113928959441 132.95018809536154
85.0 335.2316192219619 132.85585440981637
86.0 334.3529542426558 132.7717382703254
87.0 333.47598478175087 132.66169458283224
88.0 332.5794910324933 132.54086176488036
89.0 331.74519554846535 132.47582722814457
90.0 330.8713088823005 132.38592876471589
91.0 330.0367526991394 132.24973708339306
92.0 329.18247166871413 132.11656393371283
93.0 328.3048139269766 131.96862029343407
94.0 327.4503551264526 131.81936130713868
95.0 326.63846702544214 131.6616909192579
96.0 325.74816174533777 131.51880263950758
97.0 324.8978145062642 131.3451570835729
