#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T14:57+0000 #
#####################################################################
#
# random = 4.0
#
# The columns have the following meaning: 
# time deviation[mean] deviation[std]
0.0 148.00527885700916 265.5882522335283
0.0 148.00527885700916 265.5882522335283
1.0 148.00527885700916 265.5882522335283
2.0 148.07193733246817 265.4073247026869
3.0 148.10436269250818 265.2639414587349
4.0 148.1905305343186 265.04444707216106
5.0 148.2473938321151 264.7254768195939
6.0 148.18059950416796 264.31587585955333
7.0 147.98651578496217 263.7695447196336
8.0 147.80227037593556 263.1647486344315
9.0 147.59677383983498 262.5491465719322
10.0 147.42259938439028 261.97754062874
11.0 147.19173815501682 261.36871655324745
12.0 147.01479769245583 260.82222970650975
13.0 146.8482130525143 260.23080182521943
14.0 146.68756569377598 259.6280194819572
15.0 146.48280589586633 259.009976764025
16.0 146.27758841708888 258.3909582914141
17.0 146.08692306142694 257.77914659289445
18.0 145.87619523482385 257.17885956056784
19.0 145.67765393561407 256.6023365807286
20.0 145.54266360669678 256.04875590516104
21.0 145.35815488963937 255.4297607965673
22.0 145.15608636011996 254.8112059533237
23.0 144.9672726942567 254.21569354856808
24.0 144.75405799142445 253.58421831383123
25.0 144.54791368882934 252.94477307110824
26.0 144.3504529533957 252.35330934934197
27.0 144.15200427107678 251.75525966168823
28.0 143.98662303321782 251.1481704697777
29.0 143.76371446454982 250.52729833335968
30.0 143.5578885987522 249.91564679436496
31.0 143.3104094551977 249.27623191627117
32.0 143.1310571771129 248.67854313743112
33.0 142.9225009567948 248.0453717845246
34.0 142.74180475741093 247.4248735137636
35.0 142.54149101879383 246.80068772621416
36.0 142.35415304657562 246.17340085616752
37.0 142.16807146789958 245.5633278550006
38.0 141.9507376832667 244.94512793668855
39.0 141.72864416310483 244.32533070790475
40.0 141.50791610616557 243.70517627203375
41.0 141.30355293604612 243.1057506474642
42.0 141.12152745705376 242.4801158202383
43.0 140.92080205894638 241.84067326249476
44.0 140.7204133083401 241.20123070475134
45.0 140.50953252472704 240.57450186427366
46.0 140.34746941576068 239.9722942924724
47.0 140.10057172013032 239.3864992715197
48.0 139.89700773836284 238.7532554850302
49.0 139.6982770880421 238.11377802775186
50.0 139.50450818929266 237.51450889233294
51.0 139.29378342490014 236.8924131929726
52.0 139.08564200830565 236.26730801639147
53.0 138.87737996538095 235.64388454521796
54.0 138.6799212037519 235.05595122388115
55.0 138.46322226982812 234.43575584926216
56.0 138.2594050605902 233.80454044328363
57.0 138.0594017998102 233.17144023575713
58.0 137.8635766632087 232.5319566184311
59.0 137.69351693582942 231.9130087710342
60.0 137.5126078060888 231.30434466201083
61.0 137.31414106445456 230.66790035452982
62.0 137.10193791407244 230.0486869650572
63.0 136.9275667001297 229.44429877396718
64.0 136.70768886969347 228.82960663072734
65.0 136.53197816045812 228.22991798252852
66.0 136.3497057936319 227.620275075036
67.0 136.13084079612406 227.00582230814814
68.0 135.91531599099707 226.41242467544467
69.0 135.74061160272004 225.7973990265667
70.0 135.53014139951196 225.17815981354568
71.0 135.32816934261092 224.5835515857249
72.0 135.1308513628583 223.96530345719205
73.0 134.93500866939613 223.34643994148007
74.0 134.7252605605043 222.7686846222058
75.0 134.54619468750315 222.1782168283371
76.0 134.36993072044294 221.58090274193205
77.0 134.1804820703907 220.97191915137475
78.0 133.98548597604332 220.35404346807766
79.0 133.79247927452994 219.73517583122737
80.0 133.62745548142712 219.14622027247978
81.0 133.45795241373185 218.54649868422857
82.0 133.263724329446 217.91178374487856
83.0 133.05741229161436 217.29405522521745
84.0 132.8468499588954 216.69158433423843
85.0 132.6567646684831 216.06588709512803
86.0 132.48471422595054 215.44442794713044
87.0 132.31291673601203 214.829112094033
88.0 132.12226246056113 214.19386986038612
89.0 131.97696511805592 213.61618837202414
90.0 131.80659249797864 212.99710185050756
91.0 131.62144617876746 212.41078213377386
92.0 131.45446120727019 211.79159835417144
93.0 131.2650497730369 211.1564252931207
94.0 131.08020214043853 210.53300957081623
95.0 130.8930452229932 209.9313712384189
96.0 130.70702392234384 209.29481498849358
97.0 130.51717922832626 208.66110084053366
98.0 130.35067426249535 208.07838272524808
99.0 130.16218721332382 207.44432132442148
100.0 129.98920828259318 206.85529409080632
101.0 129.8428480613717 206.24818686700203
102.0 129.6573737685747 205.61305216528737
103.0 129.51467616532543 205.01108351828384
104.0 129.32525015526775 204.39787712190605
105.0 129.21191467851637 203.82950035680423
106.0 129.05957320880677 203.22769339111804
107.0 128.86235052956098 202.6093247304259
108.0 128.6744649064897 202.00265367268256
109.0 128.5130404703214 201.4066052071371
110.0 128.37350896249433 200.82515218369636
111.0 128.1921004285566 200.18992948860713
112.0 127.98856413937644 199.5962593338403
113.0 127.80364377368205 198.98493241361328
114.0 127.62105791735989 198.39129757750393
115.0 127.42801317137071 197.81138360742509
116.0 127.27287276031241 197.20541194320802
117.0 127.1343099441349 196.60942229090378
118.0 126.95248998137217 195.98416690529845
119.0 126.75752800715267 195.37300515678626
120.0 126.60361675250726 194.75838299337852
121.0 126.42545177806912 194.1234366231299
122.0 126.2425849861628 193.49697229011474
123.0 126.08375517107301 192.87487559533062
124.0 125.951694979523 192.28002897160255
125.0 125.80131355968399 191.6651441740619
126.0 125.63278736234984 191.04040356241333
127.0 125.45347608227921 190.42644710747922
128.0 125.30057979021 189.81342669116512
129.0 125.12884091647841 189.21647346436143
130.0 125.02253350277971 188.63513525968077
131.0 124.82025748245606 188.05122722447405
132.0 124.64748287398444 187.43775310874892
133.0 124.50646865414782 186.86712386930574
134.0 124.35231309856228 186.27236663169552
135.0 124.18883033728902 185.6808600016332
136.0 124.05441347210026 185.09308086136954
137.0 123.88946889235432 184.46855174609252
138.0 123.72099886329376 183.85020283727388
139.0 123.5539684467593 183.28508769956616
140.0 123.3809806066692 182.69708505405615
141.0 123.20711908052598 182.07308501892052
142.0 123.04358653216802 181.4385804813675
143.0 122.84617026763925 180.8631961061686
144.0 122.65552308282699 180.24658919291258
145.0 122.48779422843629 179.6122207908451
146.0 122.33064354553684 179.03022600741443
147.0 122.18264444480754 178.4344566666189
148.0 122.02694670609037 177.83425551679088
149.0 121.82264972291368 177.25069362235112
150.0 121.64385439568746 176.65040874739745
151.0 121.5022565844887 176.05182059721585
152.0 121.3372075965346 175.4188135599121
153.0 121.21930455921625 174.82404187620932
154.0 121.0536234483454 174.24246981407023
155.0 120.88882986663391 173.60942229544494
156.0 120.78300230591998 173.0486930895506
157.0 120.58957756240285 172.45495093145223
158.0 120.429768146575 171.85726878029936
159.0 120.25055746099241 171.26612677873334
160.0 120.08228224705867 170.676445042538
161.0 119.89778283928588 170.0601295553869
162.0 119.68040091571288 169.48764679899213
163.0 119.4680060384454 168.891353403839
164.0 119.25651405127421 168.2954000365876
165.0 119.04375677417693 167.7152715524181
166.0 118.87977432072776 167.16332135521492
167.0 118.69210547350617 166.58118101817877
168.0 118.4808012316941 165.9866904271025
169.0 118.27138065556552 165.39116257868272
170.0 118.0496581687838 164.8260620799271
171.0 117.86877914222491 164.27868706315974
172.0 117.70337402175699 163.72741559472425
173.0 117.48831568512574 163.1537510575544
174.0 117.25393072129057 162.5962033743075
175.0 117.05922979236853 162.07448464915697
176.0 116.84890364777507 161.51605522997417
177.0 116.60823231721506 160.95157809733885
178.0 116.37976134222949 160.39019767365414
179.0 116.16648848635651 159.85088934886747
180.0 115.91381617777274 159.3047390684962
181.0 115.67970785220673 158.73112565260382
182.0 115.44125586079102 158.16673845743907
183.0 115.2194296252111 157.61493548037075
184.0 114.99285603320506 157.05213626147477
185.0 114.80511154655873 156.51823726869907
186.0 114.59490647119507 155.9675028438658
187.0 114.3480585308874 155.4329725317676
188.0 114.14232525486251 154.87714437774605
189.0 113.92108514100524 154.3122522567598
190.0 113.71605836804726 153.7581610851681
191.0 113.49528940032748 153.21652452112448
192.0 113.25296358363528 152.67560652435012
193.0 113.03160416062504 152.09734993831938
194.0 112.83045412934558 151.53790529638508
195.0 112.6054875512848 150.96345491329242
196.0 112.40625144503583 150.41875286604537
197.0 112.2148189004745 149.88439235926487
198.0 112.01292864984403 149.3284767478488
199.0 111.79750578671337 148.7623056679625
200.0 111.58134925288644 148.2010954651955
201.0 111.38220217578919 147.66606500243708
202.0 111.16902173179764 147.08501197715185
203.0 110.93734221034887 146.53122896023712
204.0 110.74998061925957 145.96635528907302
205.0 110.5754599487003 145.4308629595831
206.0 110.3544378561892 144.89975333952202
207.0 110.13627319415895 144.32581114170202
208.0 109.91790267737908 143.75121881804213
209.0 109.74096349404996 143.2132148130858
210.0 109.53115802943759 142.64850678856894
211.0 109.3358710187708 142.12951595113432
212.0 109.10020203574872 141.57073035828645
213.0 108.8847066133734 140.99613605903917
214.0 108.69835113437001 140.4378988090094
215.0 108.49977227238853 139.89237664024725
216.0 108.27450920881648 139.329888244092
217.0 108.06432253720276 138.76897469060637
218.0 107.84358766148839 138.23201966417565
219.0 107.62896843173587 137.6593457320854
220.0 107.4694583177152 137.11770840560968
221.0 107.25973719142482 136.54662891511998
222.0 107.07103422993744 136.0392698691383
223.0 106.86262731989389 135.47607194642086
224.0 106.65007002079028 134.95843782603518
225.0 106.45524590746075 134.42631845942478
226.0 106.28301986712123 133.91888174962682
227.0 106.07259022195896 133.39221319069534
228.0 105.87468503472773 132.84541048907826
229.0 105.65382735879737 132.2868931516289
230.0 105.43643800496223 131.72099657656904
231.0 105.21569536059171 131.1582785351301
232.0 105.0200006252062 130.61390020699483
233.0 104.8160680059757 130.0753277839021
234.0 104.58926535349964 129.52468780034027
235.0 104.36684640913631 128.96568550820803
236.0 104.19191215441799 128.43679706572115
237.0 103.99625073953987 127.89303847383643
238.0 103.76835353803146 127.35254043254969
239.0 103.54822301154988 126.79336243001286
240.0 103.34779175072492 126.25487554317073
241.0 103.16867601099865 125.71663845559465
242.0 103.0014858991602 125.20576116823442
243.0 102.78234337237929 124.64797511242767
244.0 102.56443557755745 124.08976039489347
245.0 102.34567400169934 123.53687279149354
246.0 102.11613315795115 122.98985532016896
247.0 101.91507763752519 122.45941401379936
248.0 101.72568931524786 121.92137788178825
249.0 101.49864180605334 121.37480001461672
250.0 101.28375129134503 120.81749834520804
251.0 101.06491292915084 120.26726129576828
252.0 100.85251248042101 119.70899909873647
253.0 100.65794520561158 119.20165439108503
254.0 100.498193168052 118.67355969217068
255.0 100.27967623608185 118.13397787147805
256.0 100.07160326190588 117.59034809435701
257.0 99.85153000283057 117.05268747869845
258.0 99.65173938274403 116.53413024509184
259.0 99.44405249564196 115.97587040577109
260.0 99.26313883561276 115.43396463159293
261.0 99.08899038857838 114.90123884719954
262.0 98.87189203873551 114.37093104694107
263.0 98.6591822889507 113.86680297085708
264.0 98.4638003053778 113.36037477484753
265.0 98.24391750951521 112.81667480937703
266.0 98.01927775974849 112.30529583951513
267.0 97.77894353164614 111.78453496833657
268.0 97.53524698392482 111.26491518057274
269.0 97.31889053106269 110.78260908414957
270.0 97.08708014885573 110.26816010681847
271.0 96.88350801636454 109.75073090806534
272.0 96.65996763643946 109.2910208091149
273.0 96.43113621344656 108.76023550022416
274.0 96.18020989587576 108.2172492789485
275.0 95.96598074480467 107.71689890944539
276.0 95.73969813374221 107.18638353502998
277.0 95.5137979656276 106.6557432077451
278.0 95.32012314694298 106.16696693989856
279.0 95.08870060415703 105.6472726563688
280.0 94.88450986973905 105.15726351948041
281.0 94.70703218905467 104.6179909698814
282.0 94.47536201651694 104.10528945741083
283.0 94.24078423140378 103.59480572294918
284.0 94.0188304264687 103.07982250452535
285.0 93.7972603781984 102.59530933232203
286.0 93.60314056457159 102.09484667920624
287.0 93.38341711791348 101.58171608518188
288.0 93.15732419169012 101.0622738753576
289.0 92.92396947144826 100.5519108096346
290.0 92.68260742869376 100.07960974531476
291.0 92.43414616988812 99.58096582197375
292.0 92.21109941283936 99.11197698920842
293.0 92.00764757783672 98.65019812438784
294.0 91.76608131851307 98.16355028506962
295.0 91.52065512424743 97.66493230102843
296.0 91.29696651077721 97.18717827326365
297.0 91.08620726095073 96.73595271334254
298.0 90.88722015055079 96.27289084168626
299.0 90.64366610349212 95.77546518624227
300.0 90.40227660513995 95.27896905937537
301.0 90.181670926325 94.82123032305371
302.0 89.9615802329959 94.34258383967324
303.0 89.70058219154129 93.87377107412725
304.0 89.46118354234582 93.376320178835
305.0 89.26243096111831 92.916370529638
306.0 89.01649919182643 92.42922815823935
307.0 88.78020700235227 91.93214287102926
308.0 88.5720625806161 91.46182873908168
309.0 88.32392995017217 91.01766125348043
310.0 88.10803631038684 90.55450591476851
311.0 87.88650032887487 90.10639791692584
312.0 87.66043229137814 89.61861673746593
313.0 87.42871143509501 89.12108821136572
314.0 87.22182146348416 88.65362719055962
315.0 86.97771897567932 88.17573075899814
316.0 86.74874781196266 87.67810957631337
317.0 86.50652840705034 87.2001616387281
318.0 86.29056090649574 86.73662351555065
319.0 86.08129478984483 86.25870401358087
320.0 85.87909576834913 85.77808323950431
321.0 85.65191172926959 85.2875659612795
322.0 85.46597685208181 84.83057237580289
323.0 85.27174892298017 84.34569071822058
324.0 85.0506302169421 83.84770388302998
325.0 84.84142681924101 83.37013345265139
326.0 84.62173428413514 82.87294492834027
327.0 84.41081275807878 82.40828349977075
328.0 84.18927300663859 81.95941554111054
329.0 83.9491362757568 81.51123947541777
330.0 83.70115362135192 81.032459564038
331.0 83.40680612802842 80.5938041594405
332.0 83.1896900478144 80.18700287515664
333.0 82.93666562497057 79.73047512254512
334.0 82.709378319132 79.30627938543482
335.0 82.44078999911757 78.86982284347744
336.0 82.2398336706619 78.45271332672127
337.0 81.9892556349411 77.99714427898687
338.0 81.71500697478784 77.57526977495972
339.0 81.45122783784927 77.1414202351671
340.0 81.1972926061987 76.73727745472753
341.0 80.93426151004665 76.29833821967101
342.0 80.68568806383931 75.91867759392109
343.0 80.4057154689607 75.49980760249936
344.0 80.11770118149451 75.09082516677339
345.0 79.87767236599682 74.69820412202303
346.0 79.5998473973612 74.27933413061866
347.0 79.33383426703428 73.88286314246781
348.0 79.05654996347995 73.47538285847573
349.0 78.78082743831395 73.05651547812951
350.0 78.51388511156897 72.65446777072466
351.0 78.25999865616997 72.25455573564788
352.0 77.97751909759987 71.84557597066559
353.0 77.70396564825134 71.45341586438313
354.0 77.42301606271158 71.04443610017434
355.0 77.17723778764895 70.6924415254549
356.0 76.89765889362903 70.28346176170187
357.0 76.61837440224316 69.87399314008086
358.0 76.34774686398731 69.47410709930581
359.0 76.09785433593765 69.11965635005419
360.0 75.83814244650301 68.72966494325856
361.0 75.56148075958146 68.32164470942534
362.0 75.28646636002404 67.91267127613122
363.0 75.01703992918975 67.53200596652597
364.0 74.74357218915996 67.12303259209844
365.0 74.47014649563762 66.71501562207047
366.0 74.19839401636143 66.30604224813577
367.0 73.94737078576524 65.91602418996932
368.0 73.680607612275 65.52042605928834
369.0 73.46182477182272 65.14518017742138
370.0 73.18955454981631 64.74930235253338
371.0 72.97029533486257 64.39896321638771
372.0 72.70123855597406 64.00458328887761
373.0 72.43538618167362 63.59560991494692
374.0 72.17636487469703 63.21081823297383
375.0 71.90300640225489 62.83265064583788
376.0 71.66578378847244 62.454626822135005
377.0 71.440424712709 62.07852095675552
378.0 71.17370855840508 61.677553436389125
379.0 70.92619799077096 61.29565376329841
380.0 70.66317790461125 60.93829802212806
381.0 70.42184829668886 60.55761708092657
382.0 70.19227637293014 60.20614517324007
383.0 69.91421654225952 59.82235491599027
384.0 69.66701655891686 59.450732852833625
385.0 69.411053473612 59.09863131882977
386.0 69.13955818426793 58.75013382245863
387.0 68.86611660922007 58.377830520197826
388.0 68.62286543105714 58.006208457041204
389.0 68.35032301568651 57.622418199791404
390.0 68.07075946636786 57.25444989203202
391.0 67.8001565467758 56.870659634782214
392.0 67.54526937238423 56.50585773448109
393.0 67.30717145404111 56.137480032978424
394.0 67.02801395317802 55.7841051716396
395.0 66.75626807088072 55.423114847620326
396.0 66.48294089496046 55.04874928035039
397.0 66.22438101120007 54.69432847406316
398.0 65.98188192873653 54.33631901060047
399.0 65.71129981136482 53.96835070284107
400.0 65.44215945789489 53.59398513557117
401.0 65.17411628798654 53.219619568301226
402.0 64.91076215724182 52.8572596777689
403.0 64.6501706016332 52.50339949759131
404.0 64.3853054770009 52.129033930321384
405.0 64.12159115077505 51.75466836305145
406.0 63.87164032361152 51.39659289814221
407.0 63.61924621913727 51.05442270738016
408.0 63.3806103339368 50.732743250147
409.0 63.120445304870664 50.359334086911105
410.0 62.86048286808488 49.99126593502174
411.0 62.632716237876664 49.67235219816041
412.0 62.36449347459596 49.31381125002769
413.0 62.1131097795305 48.980056864826565
414.0 61.82838984641256 48.64581079373087
415.0 61.54712615851133 48.328911410719265
416.0 61.278132583683636 48.0126972925382
417.0 61.014329876846965 47.70757736002887
418.0 60.7286041875012 47.38696833131974
419.0 60.449587099348875 47.05176585619
420.0 60.18089727794947 46.7261516265973
421.0 59.949950915202 46.4463132196689
422.0 59.6752818085334 46.1244859877898
423.0 59.39865681589667 45.816280242498664
424.0 59.14779370709307 45.50055885575608
425.0 58.88050819054069 45.20623664546479
426.0 58.62983941288531 44.90851419416046
427.0 58.36128680212642 44.57840141450919
428.0 58.1248256903372 44.30075099534718
429.0 57.859047342977625 43.977554196955005
430.0 57.59151522793211 43.642351721825285
431.0 57.364309677901524 43.33097908704479
432.0 57.099442888506616 42.99577661191504
433.0 56.83589917774268 42.66057413678532
434.0 56.57369703595744 42.325371661655566
435.0 56.312855202867546 41.99016918652585
436.0 56.053392668874345 41.654966711396106
437.0 55.79712018539686 41.325810335778876
438.0 55.540495819146564 40.99060786064913
439.0 55.28154880088018 40.663905095874135
440.0 55.030164769794396 40.34070829748198
441.0 54.77766499749285 40.00550582235225
442.0 54.54103718053355 39.68019619007264
443.0 54.31261588671547 39.361774424310255
444.0 54.064659045821216 39.026571949180514
445.0 53.84855965283714 38.705611068862986
446.0 53.60447701010125 38.395687988982
447.0 53.37581978332041 38.078455650491186
448.0 53.14803204710896 37.766521261462216
449.0 52.90706890356658 37.43227519036651
450.0 52.667774454371745 37.098029119270805
451.0 52.42026349818904 36.77837649459568
452.0 52.172369990061114 36.446718193182974
453.0 51.96088294559479 36.15331284005765
454.0 51.75770220675696 35.85091810495416
455.0 51.51694293951714 35.531265480279046
456.0 51.27788625465404 35.211612855603924
457.0 51.04661573473531 34.87145484383646
458.0 50.80794674792889 34.57739730173215
459.0 50.6120267718273 34.271560449318535
460.0 50.38012391311878 33.951907824643406
461.0 50.15004540229134 33.63225519996829
462.0 49.924892860784915 33.31769227077164
463.0 49.7042151253503 33.00976960889168
464.0 49.47975178963533 32.69011698421656
465.0 49.25527537689157 32.38383960279207
466.0 49.0396075982307 32.08317533506562
467.0 48.840315999084964 31.780303419757853
468.0 48.623328225587855 31.460650795082728
469.0 48.40836875352922 31.140998170407595
470.0 48.18260052834775 30.842044860190523
471.0 47.94953324601149 30.563782115041615
472.0 47.803016952924544 30.30461613469342
473.0 47.6115983126557 30.022018928283586
474.0 47.39079719518916 29.729363033447054
475.0 47.17397238780868 29.43040972322999
476.0 46.96447779457552 29.14318637580809
477.0 46.73931586578559 28.864738452683344
478.0 46.515840840246554 28.586290529558635
479.0 46.29015225526351 28.365147885458565
480.0 46.07557696132125 28.155942007717112
481.0 45.83250663490401 27.91837434943082
482.0 45.58682301260887 27.69418193439518
483.0 45.3458715068613 27.45661427610889
484.0 45.138077002986044 27.233288212634832
485.0 44.899482166546484 26.995720554348537
486.0 44.66207888986647 26.758152896062256
487.0 44.42588627533941 26.520585237775975
488.0 44.233695313223784 26.30684741983895
489.0 44.0402757250937 26.083095533814173
490.0 43.81155248466836 25.850617571006357
491.0 43.59041206160676 25.64162651520579
492.0 43.360406864037024 25.40405885691951
493.0 43.13541471763128 25.171580894111685
494.0 42.908103794953114 24.934013235825415
495.0 42.67969681730999 24.702742992919678
496.0 42.45512514564406 24.465175334633397
497.0 42.23246319463465 24.24611025364889
498.0 42.01045800228659 24.00854259536261
499.0 41.789909120285294 23.770974937076332
500.0 41.574684475702604 23.538496974268522
501.0 41.35795075672087 23.31988463175047
502.0 41.141051542851166 23.100819550765962
503.0 40.925976713951464 22.863251892479667
504.0 40.74486608736668 22.64109678994052
505.0 40.52581402556059 22.416904374904885
506.0 40.31253344122477 22.21068209650814
507.0 40.126245290765226 22.007028691665244
508.0 39.9114324409009 21.782836276629606
509.0 39.6900326700773 21.57742215283817
510.0 39.48524863528764 21.370049396076165
511.0 39.30240822323376 21.17840166797086
512.0 39.093379076257655 20.95420925293521
513.0 38.88338136460665 20.742022514637167
514.0 38.7044638505304 20.534186203408748
515.0 38.50023526778245 20.30999378837311
516.0 38.28810212070752 20.111186989796675
517.0 38.07810945459409 19.905982931709705
518.0 37.86955552446121 19.700778873622735
519.0 37.66246423109271 19.495574815535765
520.0 37.45349770679099 19.302376434186385
521.0 37.24926680705713 19.09717237609942
