#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T15:00+0000 #
#####################################################################
#
# random = 15.0
#
# The columns have the following meaning: 
# time deviation[mean] deviation[std]
0.0 263.3313085890385 149.60990246700538
0.0 263.3313085890385 149.60990246700538
1.0 263.3313085890385 149.60990246700538
2.0 263.1580581495821 149.67909747782574
3.0 263.0019553481223 149.7248050392563
4.0 262.79855163865017 149.8077241055884
5.0 262.4973897937621 149.84177751457335
6.0 262.08789993790634 149.76675561463978
7.0 261.59269367292217 149.66107566892404
8.0 261.0142738853686 149.51098075568154
9.0 260.4242478994272 149.34952293372746
10.0 259.8656964976577 149.20881072008984
11.0 259.2641148045023 149.02578440364675
12.0 258.73594083700647 148.89265123190418
13.0 258.16009245268367 148.76731845454782
14.0 257.5765523665921 148.6435924698061
15.0 256.973333143457 148.47865262486167
16.0 256.37249459829815 148.31720974075296
17.0 255.78017347354407 148.17056608000422
18.0 255.21163640316993 147.9803735919446
19.0 254.66936589934446 147.79131265079658
20.0 254.14248698687993 147.66850184367686
21.0 253.5767715008375 147.50697466054143
22.0 253.01090679797866 147.3252502895612
23.0 252.44843857414688 147.14621573761517
24.0 251.85757680113053 146.9421911046269
25.0 251.25905706185054 146.74396861055232
26.0 250.69909412383527 146.55155020592693
27.0 250.13048816959395 146.36510677208193
28.0 249.56245139863063 146.20499233101953
29.0 248.9845971791452 145.9940540435294
30.0 248.41396163365462 145.79093532695
31.0 247.80738961192762 145.5603926999207
32.0 247.2530854547931 145.38923566881874
33.0 246.66037652158056 145.1899596021664
34.0 246.0771753546284 145.01590828283733
35.0 245.49078850139378 144.82280573485878
36.0 244.90370432360132 144.6408459604418
37.0 244.34128559986337 144.45786504673214
38.0 243.76575860695195 144.24564955367524
39.0 243.18745388999574 144.0397369932795
40.0 242.60444984624527 143.83556041396426
41.0 242.03317922692085 143.6455690982912
42.0 241.4470110905911 143.4691843848417
43.0 240.84847851762254 143.27766885409966
44.0 240.24995436578172 143.0865482578274
45.0 239.6671473745895 142.881837558981
46.0 239.09771497905237 142.72988784878314
47.0 238.53109379693487 142.51391113744435
48.0 237.93832696039217 142.32045207496373
49.0 237.3398014805655 142.13134339462493
50.0 236.7760221263968 141.94716725164795
51.0 236.1915672025424 141.7406792709247
52.0 235.61053475164536 141.54070175753728
53.0 235.03368054378905 141.3320305137286
54.0 234.47328310234835 141.1552618216562
55.0 233.89024002971837 140.95662455583872
56.0 233.2999834225983 140.76174996088338
57.0 232.71117818584926 140.57330225316738
58.0 232.11301169546903 140.3904607964376
59.0 231.53451665738956 140.23241957587723
60.0 230.96029110058825 140.0679503673012
61.0 230.36175937295317 139.8837195771002
62.0 229.7684170586498 139.69581269947193
63.0 229.18348064856823 139.53231339532365
64.0 228.60189631663295 139.3311848344946
65.0 228.03604351501306 139.16775548956602
66.0 227.46690366893714 138.9968796391922
67.0 226.88473552698363 138.79798246059926
68.0 226.35482572691114 138.62276302663895
69.0 225.79456638967653 138.49036730210813
70.0 225.2261734550824 138.3329715614334
71.0 224.66867393397936 138.1811277999811
72.0 224.09791479953435 138.02524561640683
73.0 223.520907421281 137.87851049629515
74.0 222.96147079017206 137.6899441363167
75.0 222.39575551959737 137.51830200963028
76.0 221.81761375059617 137.35402054235968
77.0 221.22789209262646 137.17879148709284
78.0 220.63403917131066 137.00308523379178
79.0 220.03848368007513 136.83274312819495
80.0 219.46631329288792 136.68644321233492
81.0 218.90360913615447 136.5313881715037
82.0 218.30894357638613 136.3503413169908
83.0 217.73151336608808 136.15779447773724
84.0 217.1631105542206 135.97178177900977
85.0 216.57507693115133 135.802238300204
86.0 215.9932180940303 135.64776105439273
87.0 215.4174001036927 135.49609753604062
88.0 214.82672778305962 135.3256137046298
89.0 214.28790428251236 135.20396333403892
90.0 213.69722646275258 135.06000706485324
91.0 213.14282238997103 134.89931126626226
92.0 212.55956106861962 134.7483157025931
93.0 211.96117777849034 134.57799262746167
94.0 211.37260017645698 134.41120838536588
95.0 210.8024106335877 134.24364178916338
96.0 210.2030676956572 134.0762755265924
97.0 209.6056900423405 133.9064401502141
98.0 209.05963470476092 133.74749198710586
99.0 208.46366436643328 133.57872856621512
100.0 207.90199222454604 133.4328719018006
101.0 207.33166320892835 133.3097323529069
102.0 206.7378079483209 133.15026310541091
103.0 206.17187443408224 133.02543953228252
104.0 205.59129053240716 132.86253805124312
105.0 205.05041170861975 132.76144342162056
106.0 204.47677870224626 132.6362809113477
107.0 203.8952543339182 132.45158116649043
108.0 203.32125660487404 132.28756665945474
109.0 202.76267299318974 132.1358980843313
110.0 202.20798486838882 132.01732916419016
111.0 201.60797777499363 131.8582822930753
112.0 201.042994520063 131.68290322789193
113.0 200.46551352675246 131.52253898590865
114.0 199.90034629233574 131.37070468978644
115.0 199.34432263139374 131.21910599151252
116.0 198.77049604045837 131.08513519327266
117.0 198.2014421619658 130.96668630809276
118.0 197.60631124117984 130.80643056285035
119.0 197.02133590792735 130.63950144586062
120.0 196.43720682491596 130.50975255852345
121.0 195.84241975938423 130.34810757645903
122.0 195.25192383241077 130.18719371775046
123.0 194.66385879353933 130.04715425239553
124.0 194.10079386170312 129.93833477267847
125.0 193.52004198988232 129.80636375906514
126.0 192.93090305560426 129.6548872373758
127.0 192.3482188290295 129.50756712498566
128.0 191.77272243432265 129.37652181919248
129.0 191.20452268367504 129.22986496446975
130.0 190.65870547693353 129.13393824087478
131.0 190.1248280469645 128.94443372467967
132.0 189.56944185576086 128.77276800288615
133.0 189.03191162563303 128.65237528409028
134.0 188.47324288461422 128.52813232758638
135.0 187.91604567467775 128.3840963991039
136.0 187.3903962158159 128.24660073317526
137.0 186.8245158138354 128.0704318766239
138.0 186.26267255542345 127.89578395320103
139.0 185.7492239131611 127.73031806140739
140.0 185.20656903113274 127.56627130262603
141.0 184.6639313727501 127.40068147840115
142.0 184.09050718817375 127.22289884616534
143.0 183.56744057401485 127.02169380534787
144.0 183.01430622626515 126.81867474831547
145.0 182.4403610951437 126.63967864307374
146.0 181.92015935643155 126.46567663980393
147.0 181.38326466029562 126.31644482073564
148.0 180.83566829413215 126.15424439799878
149.0 180.30461645429838 125.95535602600509
150.0 179.7578324844334 125.76970824330444
151.0 179.21223286413684 125.62159580107719
152.0 178.63832857448486 125.44618763195562
153.0 178.10328305674818 125.31011427737323
154.0 177.57650268437635 125.15184981891703
155.0 177.01059845797792 124.97049097243394
156.0 176.49997272388688 124.85634074509038
157.0 175.95677024776 124.66813693276501
158.0 175.39821117579177 124.52251285080041
159.0 174.83935559426672 124.3752724579344
160.0 174.3006348024547 124.22596677379579
161.0 173.74211551189356 124.05605847173405
162.0 173.19486482114962 123.87119193969136
163.0 172.6212247139937 123.70150631854283
164.0 172.04755235499667 123.53243864586032
165.0 171.47485737009058 123.3626463885779
166.0 170.94188673563875 123.23880112851367
167.0 170.3805697329397 123.08967554725177
168.0 169.80783918232513 122.92176693850942
169.0 169.23412957659954 122.75577992310994
170.0 168.69779425669628 122.56885951928766
171.0 168.17171342296055 122.42420070670232
172.0 167.63421407039718 122.2994304578704
173.0 167.05979137115034 122.13667899620552
174.0 166.5130115131909 121.9719395619601
175.0 165.9879240266558 121.84979920970716
176.0 165.431464607654 121.71036676508072
177.0 164.87251613848807 121.53344137886707
178.0 164.3138005558822 121.37226338911171
179.0 163.7715336763716 121.23457940050706
180.0 163.22182219062373 121.05789519739166
181.0 162.6503327956919 120.89615261109122
182.0 162.09161149821463 120.72124441151169
183.0 161.56232869475068 120.54102294996382
184.0 161.0367255748927 120.34325867904126
185.0 160.52218983839342 120.19934535295094
186.0 159.99183997347276 120.03170385666073
187.0 159.46754862793702 119.83841397535801
188.0 158.9335113189871 119.67561248445539
189.0 158.3888098472325 119.49704698289494
190.0 157.8570171607527 119.3333112583322
191.0 157.34709200215917 119.14902001573248
192.0 156.82052419047773 118.97315244679659
193.0 156.27033861272352 118.80611567895623
194.0 155.71947108311642 118.63750008444804
195.0 155.17191778702212 118.45865939719191
196.0 154.64818298161163 118.30346002757047
197.0 154.12414792142775 118.16437101142277
198.0 153.59868633247615 117.9998980583185
199.0 153.06058967657123 117.82738897400665
200.0 152.52897105748175 117.64973720731017
201.0 152.01451648724802 117.49457002499993
202.0 151.49081612812654 117.30429980428451
203.0 150.9664843881615 117.10371029476569
204.0 150.42662038811693 116.95420700788158
205.0 149.90825029806027 116.81899096465733
206.0 149.41740937701454 116.64705926795162
207.0 148.87672499087256 116.46828352704786
208.0 148.34984192795983 116.2842482338391
209.0 147.86854009405948 116.11728449922987
210.0 147.33720037343596 115.94119051612789
211.0 146.84107684140977 115.79455947386776
212.0 146.29713184359574 115.61486186423811
213.0 145.75521342776983 115.43324639397552
214.0 145.23134989387435 115.27324858963767
215.0 144.72152895372065 115.10272850004677
216.0 144.20636645218903 114.94059862741874
217.0 143.67717445656692 114.76229097287238
218.0 143.1612850819125 114.58330069549328
219.0 142.62359194584985 114.40005359686872
220.0 142.12113806425546 114.25257032368587
221.0 141.60421074066576 114.04646836951179
222.0 141.11784427039663 113.88748214453724
223.0 140.59264242451167 113.70815487578945
224.0 140.11466762447859 113.51254907635204
225.0 139.61698596119803 113.3436393358175
226.0 139.12951719611723 113.20229725712363
227.0 138.64655511524714 113.00967714945959
228.0 138.14471563753452 112.83042923795907
229.0 137.63170449585763 112.6326688495355
230.0 137.11413741261032 112.44177267191642
231.0 136.60943792737555 112.2317437138557
232.0 136.10841364628138 112.05333966772365
233.0 135.6043123426468 111.88088392316988
234.0 135.0944591304439 111.6770720342877
235.0 134.57319482130944 111.48386672825961
236.0 134.09316844689906 111.3162539834312
237.0 133.5865371671003 111.14319354018058
238.0 133.1013514654833 110.9253589193466
239.0 132.59533497826774 110.71680763584261
240.0 132.1198499826535 110.51523104190973
241.0 131.64470544556465 110.33601950656825
242.0 131.20216719925594 110.1538394213426
243.0 130.71017721869043 109.9313581318037
244.0 130.21781499966494 109.7100207385038
245.0 129.7306635817089 109.48788518680142
246.0 129.24876092385276 109.25972685954673
247.0 128.77696955991885 109.06423668861902
248.0 128.3041890521591 108.86914969758716
249.0 127.8235065253271 108.64448260230667
250.0 127.3317672268767 108.4280056005944
251.0 126.84653807823939 108.20804736956651
252.0 126.35360871467071 107.99296240209135
253.0 125.91117940758534 107.79548442328685
254.0 125.44588500167868 107.62324537977138
255.0 124.97378132091774 107.399919146358
256.0 124.50038499121736 107.17776966992596
257.0 124.02807019390383 106.95138870737904
258.0 123.57070095067957 106.76277656659825
259.0 123.0777639007092 106.55233465857702
260.0 122.60101332400176 106.36900268362929
261.0 122.15160503911797 106.1798075612562
262.0 121.69416653118451 105.95820519363063
263.0 121.2372192966914 105.758674491931
264.0 120.79303912271564 105.55568219642757
265.0 120.29958336134139 105.3499979706499
266.0 119.83657563599428 105.13486899218938
267.0 119.34312311651185 104.93062812091603
268.0 118.85034376275989 104.72641112070305
269.0 118.40135772071348 104.532894268877
270.0 117.9305798932633 104.32203843128445
271.0 117.45018536030479 104.14101441903786
272.0 117.04296055637413 103.91442656969288
273.0 116.55019471160237 103.71375299088896
274.0 116.0498691841331 103.48832556659386
275.0 115.59110747333098 103.30207234577631
276.0 115.09834162858719 103.10377480454174
277.0 114.6055757838444 102.90630833042637
278.0 114.14897888363845 102.74072680028968
279.0 113.66358445860844 102.5402267152708
280.0 113.2111527637905 102.3546181523051
281.0 112.7223460480334 102.19138929775589
282.0 112.24486036104959 101.98111548751386
283.0 111.76861934724957 101.7872310780038
284.0 111.28888416909508 101.59560837481105
285.0 110.83333929466778 101.41351030766727
286.0 110.37095520223595 101.25013231984624
287.0 109.89869304919876 101.04788801917404
288.0 109.41460046257156 100.85437958813483
289.0 108.92802048952244 100.66357005927681
290.0 108.46557406272439 100.46930824709631
291.0 107.97377945967129 100.28251051947923
292.0 107.51272732947318 100.10852903164925
293.0 107.03925130072093 99.94127125810694
294.0 106.56715631694154 99.75475647894923
295.0 106.08023978564744 99.59779969769951
296.0 105.60676376249438 99.43327002674253
297.0 105.16073252211358 99.28083693198376
298.0 104.68943694894182 99.11203792699479
299.0 104.19775435884053 98.93222033964763
300.0 103.70608127796989 98.75333825627587
301.0 103.2413514755147 98.6008394142984
302.0 102.77051443747042 98.44307688349981
303.0 102.31443535158003 98.2345648709659
304.0 101.84355082290283 98.04836188935643
305.0 101.42362553726956 97.8968445919972
306.0 100.95986696636021 97.70775338639145
307.0 100.47927002754845 97.52361519943125
308.0 100.02312264581462 97.3574363713384
309.0 99.60868261456233 97.13023168699755
310.0 99.15572002145116 96.98034321446536
311.0 98.72339201191215 96.80475349860355
312.0 98.2649313286051 96.62426230245424
313.0 97.84524646648288 96.43580273000978
314.0 97.41368460007237 96.25591700909403
315.0 96.97010748285079 96.04923577906797
316.0 96.50977674130985 95.85259746505824
317.0 96.05456904679045 95.65488559926257
318.0 95.62546180786387 95.46581340323661
319.0 95.18127312583907 95.28641206617179
320.0 94.75561609594835 95.10762244554084
321.0 94.33220586409705 94.90559233221961
322.0 93.92736460129554 94.73893756245623
323.0 93.49047143588473 94.56440335955098
324.0 93.04801877970893 94.36607811972193
325.0 92.59567671798386 94.19331673909625
326.0 92.14352997183052 93.99771092458764
327.0 91.72629698678179 93.80615474269764
328.0 91.30985862835291 93.61970427782859
329.0 90.91624091464507 93.38979667231645
330.0 90.49193300658789 93.17051876130395
331.0 90.1131218056916 92.88178814241873
332.0 89.74049402811181 92.6877253328648
333.0 89.33287195252431 92.45472811810784
334.0 88.9565370298928 92.23599832486465
335.0 88.57665062245819 91.99093623186462
336.0 88.22953001937458 91.81257983702285
337.0 87.8224472134737 91.58190204562338
338.0 87.41677568914191 91.35075578920696
339.0 87.01466581841146 91.12142648685719
340.0 86.64408804339608 90.90346793083297
341.0 86.24113751750151 90.67874594596341
342.0 85.89221524250682 90.50303709485345
343.0 85.48862586165967 90.27366080159364
344.0 85.09788364422094 90.03308078499276
345.0 84.73003934210938 89.8216591780086
346.0 84.33925955695045 89.58269216901684
347.0 83.96386558925187 89.35249928002773
348.0 83.58999830083127 89.10789266377343
349.0 83.19925039887288 88.87116716864553
350.0 82.8219485876117 88.64066187529828
351.0 82.4495222232862 88.42149006159507
352.0 82.05854400103884 88.1873909262313
353.0 81.70009476009761 87.94209572167813
354.0 81.32879783888325 87.6914688171147
355.0 81.0093486127433 87.47007897981365
356.0 80.63805510104669 87.22068793700075
357.0 80.26676164080656 86.97201677679992
358.0 79.91991061710908 86.72822206097152
359.0 79.58775860423012 86.51128040593463
360.0 79.23177947963717 86.28890091674158
361.0 78.87685662010243 86.03755997865905
362.0 78.50556315983907 85.79226214124942
363.0 78.16243079451445 85.54861171666323
364.0 77.79113744974408 85.30468863171775
365.0 77.42547398444975 85.06430053854919
366.0 77.08991815308144 84.84297053091221
367.0 76.7596074346332 84.64184283727903
368.0 76.42101433848599 84.41567642058362
369.0 76.08019069855169 84.21425317428832
370.0 75.7124114294111 83.97393644362515
371.0 75.38995678618824 83.78336816320314
372.0 75.01354228369878 83.54933063403907
373.0 74.64948789276718 83.31357213173861
374.0 74.28147263709037 83.09048477824912
375.0 73.94239460278409 82.83428059926473
376.0 73.60259366118741 82.60590601903492
377.0 73.27412823704474 82.40085611404646
378.0 72.93508411186443 82.14965972306855
379.0 72.62063401208265 81.93610103563742
380.0 72.3026759392887 81.69851585703644
381.0 71.9557562179969 81.47874972446179
382.0 71.64786883954078 81.26501696392201
383.0 71.29082254295805 81.02174883623623
384.0 70.94577395312596 80.80275316928694
385.0 70.63402436659499 80.57311089323281
386.0 70.29637292056765 80.34898060026147
387.0 69.94816246019285 80.106899660878
388.0 69.6031270029037 79.89128802470346
389.0 69.24797981707717 79.65115734872187
390.0 68.9098157984181 79.40474271260476
391.0 68.55466922188187 79.1662839232953
392.0 68.21484441906166 78.95315748216946
393.0 67.88211496834911 78.73056303341177
394.0 67.53087085976303 78.49434103962903
395.0 67.19797381788887 78.24591356686463
396.0 66.84282764318492 78.01166971854987
397.0 66.50347644704726 77.80251188628958
398.0 66.16407308324348 77.59105230720377
399.0 65.81383939056641 77.35836480973539
400.0 65.45846648898079 77.12791416662864
401.0 65.10379257167499 76.89779971427072
402.0 64.75942839016642 76.67508797564227
403.0 64.42465067222955 76.45843000959822
404.0 64.06896701123992 76.23129751178966
405.0 63.72174051762928 75.99803129322089
406.0 63.38551684754261 75.77454492269982
407.0 63.06050428116893 75.55619203105582
408.0 62.753042903045014 75.36850321852319
409.0 62.40684088668663 75.14845501088394
410.0 62.06933634466488 74.92040131963495
411.0 61.753741842609124 74.7450517252633
412.0 61.40725585851106 74.51835500534186
413.0 61.07421688635318 74.31997263979143
414.0 60.72750808058772 74.0954417488271
415.0 60.3969128279619 73.87720345886208
416.0 60.06553139466001 73.67948364526212
417.0 59.74687426082445 73.46357263048196
418.0 59.413300311566424 73.2453101872753
419.0 59.06659671380595 73.02583975750828
420.0 58.72851070978629 72.81765921283706
421.0 58.43779586326432 72.63778232888065
422.0 58.10548533923156 72.41035736734344
423.0 57.78209450593662 72.20988512809495
424.0 57.4516718528462 72.01422479129161
425.0 57.160322828475394 71.78085296375436
426.0 56.86710563317286 71.59544214961646
427.0 56.53783198959426 71.37327317754415
428.0 56.277412645555046 71.16506379451548
429.0 55.95541641493035 70.95063222962176
430.0 55.62310864802703 70.7307496890397
431.0 55.32729115554008 70.5397266724653
432.0 54.994983553001724 70.32202467299831
433.0 54.66312526439953 70.10510967563602
434.0 54.33113794100665 69.8894449287161
435.0 53.99915061760691 69.67494020792861
436.0 53.68331918754092 69.4494700816169
437.0 53.37052246514936 69.22567847614229
438.0 53.05469103508244 69.00237884493244
439.0 52.74844271169686 68.78108921138049
440.0 52.44292299452644 68.56632934190418
441.0 52.12709156445928 68.34618827593498
442.0 51.818919789308374 68.13602127362306
443.0 51.51673564882194 67.94615513883916
444.0 51.208844967676754 67.72353363814562
445.0 50.91267261469187 67.5317035021742
446.0 50.628207785894126 67.3038758415056
447.0 50.338046355888345 67.08839420917948
448.0 50.037815329659416 66.87914643655135
449.0 49.72992464851421 66.66210851978572
450.0 49.43421136766522 66.44162657413827
451.0 49.126320686520025 66.22694530827644
452.0 48.808118292478106 66.00711147265578
453.0 48.52225765238995 65.83141249379055
454.0 48.22751428976608 65.65063613194923
455.0 47.91962360862089 65.44106957500425
456.0 47.61173292747569 65.23277970232651
457.0 47.2839474267523 65.02152898344562
458.0 46.99898627286049 64.82089893626826
459.0 46.70346972018041 64.64314958068724
460.0 46.395579039035226 64.44012915213182
461.0 46.087688357890045 64.23844721470562
462.0 45.78283238442001 64.03898312043665
463.0 45.48475416457503 63.84617107344149
464.0 45.189040883726044 63.643089699939004
465.0 44.88115020258086 63.446823091413805
466.0 44.609152934262106 63.26168462481654
467.0 44.335478336839856 63.08233769302371
468.0 44.04815644983683 62.8757743554496
469.0 43.78122570750608 62.656776823112956
470.0 43.51429496517534 62.438780563810965
471.0 43.24736422284457 62.22179610153077
472.0 43.01433839843949 62.07010587057639
473.0 42.762676939472904 61.875014956594924
474.0 42.50155068775849 61.65975869195895
475.0 42.23461994542772 61.44694348726265
476.0 41.980750221313066 61.2470804926446
477.0 41.72960879743326 61.052683127866764
478.0 41.48353754346882 60.860121294674705
479.0 41.276088422443166 60.68315602912979
480.0 41.031193032664895 60.50670276613755
481.0 40.75904406462101 60.302996055278314
482.0 40.487337410808244 60.102232283917466
483.0 40.223293046273845 59.89886413943563
484.0 39.96746232772878 59.72907228955006
485.0 39.70071468800047 59.52814546312799
486.0 39.433972537603644 59.3283082389724
487.0 39.16810395504721 59.12830036064739
488.0 38.95176111544682 58.98071437001369
489.0 38.697029545678916 58.80988544363662
490.0 38.46177305151348 58.61354893098333
491.0 38.24979749080874 58.44761200871224
492.0 38.01479973131825 58.24280041698744
493.0 37.762549642325126 58.04204134788858
494.0 37.512364056327634 57.83926188128446
495.0 37.26282108171343 57.63822470098014
496.0 37.02778648275262 57.4372566095142
497.0 36.79333946241747 57.22892843908075
498.0 36.53814847851597 57.0324372525791
499.0 36.2829671268522 56.83719989884471
500.0 36.030835267495554 56.64445511484814
501.0 35.799168192922494 56.44864221209587
502.0 35.56471834959365 56.24496576428625
503.0 35.30960258715216 56.05433933802995
504.0 35.069043218452286 55.88042407498806
505.0 34.81392742478499 55.6923881256742
506.0 34.60680636853382 55.480721901179336
507.0 34.395093476426084 55.311166004821004
508.0 34.16064337358818 55.11352316039878
509.0 33.926713308564594 54.916785080674856
510.0 33.7051100059304 54.72824880055286
511.0 33.49855231833987 54.57093303635873
512.0 33.264102208674785 54.37776553843386
513.0 33.045161891756415 54.189047821373514
514.0 32.825981064737185 54.01552922510573
515.0 32.591530954085826 53.82573388434631
516.0 32.3609798076242 53.6376228948381
517.0 32.12652969664524 53.450220671105484
518.0 31.892079585578767 53.264031390596934
519.0 31.657629474436586 53.07906781749799
520.0 31.433511865024755 52.90065035731297
521.0 31.23281211558907 52.73176631965345
522.0 30.998362004277237 52.550322322481065
523.0 30.784675487300188 52.36180887229841
524.0 30.581185265460743 52.16712877564678
525.0 30.379806837427314 52.00052348531738
526.0 30.163085977169846 51.81364550767175
527.0 29.96477304653376 51.619612710385624
528.0 29.76829187066858 51.42294295856949
529.0 29.587153127010993 51.24829691853492
530.0 29.395849242399347 51.05096204092026
531.0 29.199368066534173 50.85672308736075
532.0 29.00288689066899 50.66334487617728
533.0 28.811149404715138 50.468498798383266
534.0 28.614063880185352 50.27670822869737
535.0 28.422578092245143 50.08359841000162
536.0 28.24964778459787 49.89135572072484
537.0 28.066400865608372 49.69510144260481
538.0 27.91484357460801 49.49598665109803
539.0 27.749919901732472 49.29101653646372
540.0 27.584996683748372 49.086580649794186
541.0 27.42003830946634 48.882705170925355
542.0 27.255086470043114 48.679373445894875
543.0 27.090134630633585 48.476596032858275
544.0 26.925182791227474 48.274379917003564
545.0 26.767892036552606 48.083342906167175
546.0 26.602941626961506 47.88228207429596
547.0 26.438037076558885 47.68177863636394
548.0 26.273113863573546 47.48187583227265
549.0 26.10819065058821 47.28257078013793
550.0 25.943267437602874 47.08387107077537
551.0 25.799598998450303 46.92808736590003
552.0 25.635519952386286 46.73833298760913
553.0 25.500417811511905 46.59496475284151
554.0 25.35292252240569 46.426475755279036
555.0 25.21330839105033 46.26925749786317
556.0 25.06120130884027 46.09462428282964
557.0 24.89835742239481 45.90125456519394
558.0 24.73194413471117 45.707718239231205
559.0 24.560190166578874 45.51758690255968
560.0 24.39467849370163 45.33973333206749
561.0 24.22633653651155 45.14922446150108
562.0 24.05843427277148 44.959092599972024
563.0 23.891345649807693 44.76922967734321
564.0 23.734053449551265 44.57831257254621
565.0 23.573727090785354 44.3863165219223
566.0 23.4197133276928 44.19219422325599
567.0 23.274655974505716 44.01303159024784
568.0 23.11432907819281 43.82305044798362
569.0 22.954002181879833 43.63381937318744
570.0 22.79367524057268 43.44534818798133
571.0 22.65087014341834 43.25045141744785
572.0 22.490543166946228 43.06322170689225
573.0 22.345558613721295 42.894413198288234
574.0 22.188265055320446 42.71053589346414
575.0 22.027938061190856 42.525577359959726
576.0 21.86761106409158 42.341436267493776
577.0 21.71359730099286 42.15493765390282
578.0 21.584045870358107 41.956676497761805
579.0 21.447553979253943 41.762432207605315
580.0 21.326331371513962 41.578269202611864
581.0 21.20518191261739 41.4016732925744
582.0 21.07172345409813 41.21065522528595
583.0 20.959133715136858 41.03987054768307
584.0 20.822641824032697 40.84778796761073
585.0 20.686149932928533 40.65625512172296
586.0 20.549658041824372 40.465279816131314
587.0 20.413166150720215 40.27486998206731
588.0 20.276674259616055 40.08503367775172
589.0 20.148815237290606 39.9082327844866
590.0 20.012323346186438 39.71956698845348
591.0 19.87583145508228 39.53149947724166
592.0 19.73933956397812 39.344038830393515
593.0 19.60284767287396 39.15719376379401
594.0 19.476746194962463 38.97218684726596
595.0 19.354810728825708 38.79097616060126
596.0 19.218318837721544 38.60574882219034
597.0 19.081826946617387 38.4211705203161
598.0 18.95396792429194 38.24976582892472
599.0 18.827288494488 38.06766177968639
600.0 18.69037531932926 37.89002305443952
601.0 18.554254753239842 37.715961475143345
602.0 18.437029456882318 37.55281517227252
603.0 18.319167325399874 37.38731207499238
604.0 18.194403702719843 37.24445504385231
605.0 18.06338202546739 37.10741107460663
606.0 17.921888167030563 36.930890216739826
607.0 17.788041307668834 36.76635335308243
608.0 17.646531462694895 36.59136317508624
609.0 17.50964551289375 36.414947997071295
610.0 17.37295935903087 36.2392155376094
611.0 17.24639525364314 36.10535311836303
612.0 17.117368627684044 35.942630453864275
613.0 16.98068357893936 35.76940983948602
614.0 16.84400029986907 35.597013887885495
615.0 16.71743918592063 35.467009926465295
616.0 16.580755906180727 35.2964021599476
617.0 16.459415058625225 35.13788807578518
618.0 16.32273177885477 34.96880826045393
619.0 16.18604849908316 34.800613583266234
620.0 16.049365219311557 34.63331694008918
621.0 15.912681939539624 34.466931407639905
622.0 15.775998659767628 34.30147024444683
623.0 15.639315379995617 34.1369468917157
624.0 15.502632100223588 33.97337497409401
625.0 15.373608475367812 33.82219007567004
626.0 15.236925195595774 33.66056492205105
627.0 15.100241915823736 33.499932867304445
628.0 14.97220071031451 33.352611673306356
629.0 14.835517430542467 33.19399543734779
630.0 14.708646612070643 33.03476762579557
631.0 14.584337460763729 32.904770190490495
632.0 14.472735925656076 32.74567421854764
633.0 14.346174811494402 32.634076930986645
634.0 14.219303993022583 32.47851666107493
635.0 14.08262071325054 32.32576505976695
636.0 13.971092326986303 32.17937016453317
637.0 13.834409047214265 32.02851082856243
638.0 13.697725767442227 31.878800628161418
639.0 13.575598912637588 31.724585123958345
640.0 13.453472057832949 31.571294688019705
641.0 13.353515523016787 31.437410623274737
642.0 13.242941306783768 31.28885089288785
643.0 13.158365495050527 31.13992104160804
644.0 13.046782411141328 30.985400964211788
645.0 12.935195066983482 30.83171823357368
646.0 12.835882557945643 30.70481995065579
647.0 12.742472591006523 30.54923026750683
648.0 12.646029006717825 30.39164707246788
649.0 12.561959284020858 30.26054213526696
