#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T15:08+0000 #
#####################################################################
#
# random = 7.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 169.01278773044388 104.09493290256042
0.0 169.01278773044388 104.09493290256042
1.0 169.01278773044388 104.09493290256042
2.0 169.0208046105279 104.10113819371414
3.0 169.02667239298214 104.09438642850895
4.0 169.04124303028695 104.08694255821548
5.0 169.07068213713978 104.07463581774269
6.0 169.11540771231532 104.06615824670547
7.0 169.14923569592267 104.05488366779836
8.0 169.18868655777723 104.03279615305088
9.0 169.2286537266539 104.01311461942578
10.0 169.261477978255 103.99670031911022
11.0 169.29891034747217 103.98415027309666
12.0 169.33707679087343 103.9682258956031
13.0 169.37486817029784 103.94692153421138
14.0 169.4086402051411 103.93804702447959
15.0 169.44569996719022 103.9223757317215
16.0 169.48964743089047 103.90476235650985
17.0 169.53210742683814 103.88527075001656
18.0 169.57582104024527 103.86510888880771
19.0 169.61200622693727 103.85128996398481
20.0 169.65402097235088 103.83693280797078
21.0 169.69291815335615 103.82323723125117
22.0 169.7240961713555 103.81732179122018
23.0 169.75959963957408 103.80650598880553
24.0 169.79387029920017 103.79566810010616
25.0 169.83700677326684 103.77954369027445
26.0 169.87013358693443 103.76814784658393
27.0 169.9109200376944 103.75739647563859
28.0 169.95575964931086 103.74006973134148
29.0 170.00365965410788 103.7247380354652
30.0 170.04720793459578 103.71189415964643
31.0 170.07877802799342 103.71144876903973
32.0 170.1251747592418 103.69532063888524
33.0 170.16946222875325 103.67933950961336
34.0 170.20159757220034 103.66396632194287
35.0 170.23596676286795 103.64950470984544
36.0 170.269209472879 103.63341856800373
37.0 170.3020335236678 103.6215215428307
38.0 170.34509878555272 103.61202264503882
39.0 170.39179138543113 103.60145880820873
40.0 170.4315851440415 103.58119702788072
41.0 170.4738443626865 103.5716914149317
42.0 170.52049695421283 103.55857445699971
43.0 170.5671028282271 103.54578824372378
44.0 170.61389360114808 103.53325646084178
45.0 170.66018377596245 103.52337506021281
46.0 170.70561476837608 103.50927098547291
47.0 170.74172301656787 103.49777069162245
48.0 170.7775018627831 103.49717196277842
49.0 170.8230442475243 103.48727700468115
50.0 170.8681814223712 103.48095325089352
51.0 170.90720403514243 103.4731203109843
52.0 170.95273959492044 103.4630957813395
53.0 171.00293020687585 103.4562083289126
54.0 171.04551749705567 103.45305105172505
55.0 171.08396671942046 103.43572159349002
56.0 171.1280022445455 103.43066452087324
57.0 171.17741318813395 103.4221376023428
58.0 171.22441537630826 103.41463334904574
59.0 171.27176026832862 103.40755395530317
60.0 171.32130094030455 103.40055716246495
61.0 171.3689552266857 103.39413001742133
62.0 171.41784815980122 103.38764442420731
63.0 171.46514138885448 103.38020899058958
64.0 171.50839665143545 103.38643314120672
65.0 171.5594299253264 103.38070918836496
66.0 171.60900000877507 103.37679799163337
67.0 171.65730444285148 103.37834801549496
68.0 171.7027501821301 103.36877720862626
69.0 171.75190105614908 103.36524939733752
70.0 171.79877053988363 103.36476033365264
71.0 171.84847160740262 103.35738772982316
72.0 171.90359718675654 103.35540062902757
73.0 171.95420600742315 103.35405922045068
74.0 172.00718293918314 103.3504627470033
75.0 172.0562215560145 103.35302537167287
76.0 172.1066272626816 103.35205104296239
77.0 172.16015044213793 103.3521833709968
78.0 172.21240050145414 103.35371692220899
79.0 172.2642186976628 103.35578255178879
80.0 172.31395411436847 103.35204600537385
81.0 172.36688643791425 103.35560860700654
82.0 172.42565014078323 103.35898924684636
83.0 172.4827873673107 103.3630686858902
84.0 172.52106720733653 103.35228539044066
85.0 172.57273957044868 103.35527263053966
86.0 172.62636016175625 103.36111201774696
87.0 172.67860431468023 103.36646053606242
88.0 172.7323147054507 103.3738107535929
89.0 172.78281012455943 103.38558356769215
90.0 172.83715405259906 103.3942994126631
91.0 172.87335287580197 103.38079329307524
92.0 172.92751117118345 103.39061861361162
93.0 172.9817299862558 103.4012697041513
94.0 173.03904997153313 103.41131766946845
95.0 173.09033891043782 103.41872709939335
96.0 173.14346942403668 103.43179470861176
97.0 173.19958963268923 103.4457437715875
98.0 173.25421151032137 103.46329949505716
99.0 173.30664412936846 103.48260269414597
100.0 173.35734285105048 103.49886566440992
101.0 173.41366727210357 103.51211375526056
102.0 173.4647886700618 103.53192564020102
103.0 173.5029488627179 103.56182660856898
104.0 173.54437400688514 103.59259483618968
105.0 173.58623903880243 103.62474108388075
106.0 173.6239814140579 103.66066701805165
107.0 173.67347385669106 103.68716546069504
108.0 173.70778777649866 103.71988306611838
109.0 173.7422124993236 103.75867690713791
110.0 173.7918642421656 103.78495691111559
111.0 173.83949526326592 103.82392316544234
112.0 173.88154192998704 103.86042679150042
113.0 173.9328582821419 103.87870065088181
114.0 173.96560590931844 103.87543728684344
115.0 174.00316460368262 103.92423406705875
116.0 174.0562751977575 103.95064145006549
117.0 174.10824606769165 103.98083361282298
118.0 174.14691852285307 104.03082805832258
119.0 174.19884007485882 104.06659006452554
120.0 174.23056311309983 104.10814848799164
121.0 174.30276023787803 104.13875352291339
122.0 174.35139601248474 104.17203213624644
123.0 174.40063732141803 104.20909342453261
124.0 174.45083099485166 104.24951885202636
125.0 174.49937396221677 104.29071788453012
126.0 174.5498439973231 104.33278219671949
127.0 174.59381650353555 104.37347669977282
128.0 174.63940098805514 104.41974155773458
129.0 174.67942913884568 104.46225657282965
130.0 174.70817361409345 104.52197732912606
131.0 174.7543856542251 104.57473519944169
132.0 174.79538190783708 104.62769174285721
133.0 174.82712705113988 104.66475195999612
134.0 174.86539599934375 104.7095421943018
135.0 174.88526381173025 104.72340086951203
136.0 174.92438684638935 104.77401091674267
137.0 174.96521944848823 104.82993229897721
138.0 174.99847852757136 104.88311916882597
139.0 175.02858561869073 104.94861558641021
140.0 175.04285283060608 105.02236974388016
141.0 175.07901710053048 105.08613085632457
142.0 175.10101106765163 105.1618278146007
143.0 175.11459213957357 105.18726765904563
144.0 175.15492347853058 105.2562068133099
145.0 175.18513028168158 105.32533427928156
146.0 175.21047127698955 105.3991536779395
147.0 167.73097326835173 104.79418271199957
148.0 167.75955608424215 104.79600642793748
149.0 167.78340141818435 104.80313202422482
150.0 167.79510412088703 104.79776693189336
151.0 167.81531893788843 104.79718167356457
152.0 160.34098540895442 103.64632432189232
153.0 160.36406095862066 103.62939232166684
154.0 160.365856562834 103.63784022160218
155.0 160.390166524041 103.62252691742009
156.0 160.40961899567944 103.60357441048991
157.0 160.41304712506604 103.62098639162978
158.0 160.43816620056882 103.60994506200568
159.0 160.46168390351178 103.5983246336265
160.0 160.48408425076948 103.5832110727878
161.0 160.5102563658162 103.57412493362278
162.0 160.53981915696025 103.5667901399324
