#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T15:09+0000 #
#####################################################################
#
# random = 8.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 176.10664791360776 102.92293912320903
0.0 176.10664791360776 102.92293912320903
1.0 176.10664791360776 102.92293912320903
2.0 176.1196314349264 102.92746460305618
3.0 176.13205086634605 102.94075538450787
4.0 176.1555869259383 102.94624243094385
5.0 176.21004655141266 102.9475162043493
6.0 176.26412924205889 102.94025194070774
7.0 176.304724752898 102.94998402286582
8.0 176.3564927745324 102.94855530958291
9.0 176.41068649843427 102.94959888811724
10.0 176.45463102692125 102.95114602231644
11.0 176.50444263658463 102.95951531586131
12.0 176.5545992724293 102.96275719931846
13.0 176.60553968829393 102.9613386585162
14.0 176.65999414798736 102.96468066009702
15.0 169.21142257353054 102.45413882259288
16.0 169.26838563643 102.44133786716355
17.0 169.32362338251718 102.42712343182035
18.0 169.3775187996978 102.41271112999297
19.0 169.42751680947302 102.4028624892252
20.0 169.48059597693236 102.3937769259096
21.0 169.535455965602 102.38432671217306
22.0 169.5916787017474 102.37503755581582
23.0 169.6489845786037 102.3604937046597
24.0 169.70661832588607 102.34542647340153
25.0 169.76633179103402 102.33335714635841
26.0 169.81341600408854 102.32555308936084
27.0 169.8654515947694 102.31984433668956
28.0 169.92230451264882 102.30691887568624
29.0 169.98157385451788 102.29560459537043
30.0 170.03718749571746 102.28727698056763
31.0 170.09158395505975 102.28195399220053
32.0 170.15285463904152 102.27095019828494
33.0 170.21210480304956 102.2585683451268
34.0 170.27106813118596 102.2462420649153
35.0 170.32817449331472 102.2369270754236
36.0 170.38776204848793 102.22425007425598
37.0 170.44686260560334 102.21608934257675
38.0 170.50777539797986 102.20914540125189
39.0 170.56848794478637 102.20122897145487
40.0 170.62469468675775 102.1848787053384
41.0 170.68186753178978 102.17861081405937
42.0 170.74446350716286 102.16833343116954
43.0 170.80736909546408 102.15817111254758
44.0 170.87059435042818 102.14812394348621
45.0 170.93315276895996 102.1405483648326
46.0 170.99468370790558 102.12804544753367
47.0 171.0468878764776 102.12029554629986
48.0 171.1104796774628 102.10927446994602
49.0 171.17520975403693 102.09972346738967
50.0 171.23538793622853 102.09728165070138
51.0 171.29771532643625 102.091833578757
52.0 171.36319579371718 102.08146695731794
53.0 171.43154621060833 102.0746805827812
54.0 171.49312872810148 102.07187837651352
55.0 171.5531866347413 102.055475951354
56.0 171.6168091456059 102.05137870742846
57.0 171.6789136006374 102.05327562397642
58.0 171.74783703308734 102.04495419712441
59.0 171.81624015916142 102.03639913404912
60.0 171.88856490095384 102.0280164881833
61.0 171.95791359823136 102.01992936893178
62.0 172.02810284016564 102.01182369284837
63.0 172.096466681875 102.00197316883481
64.0 172.15974294890046 102.00600497647739
65.0 172.23002072074334 101.99809112798003
66.0 172.3016068669791 101.99135174167999
67.0 172.36928793032655 101.99093233633016
68.0 172.43629870209134 101.97726449886014
69.0 172.50797461921582 101.96998897921549
70.0 172.57672416564176 101.96614003267602
71.0 172.64838928925155 101.95449748931901
72.0 172.72421007552427 101.94858620321101
73.0 172.7983404693246 101.94278497220732
74.0 172.8726006908313 101.93353342199518
75.0 172.94537727571893 101.93129966895258
76.0 173.0210298078933 101.9246078010349
77.0 173.09818054231303 101.91940507910128
78.0 173.17482061506317 101.91492667077875
79.0 173.25144098826163 101.91071419785958
80.0 173.32335557872224 101.900428932172
81.0 173.40079153874626 101.89698363519058
82.0 173.4812281373572 101.8937728104919
83.0 173.5619570766437 101.89059590482896
84.0 173.62826020424708 101.87626433472725
85.0 173.7055297455771 101.87101595754187
86.0 173.78493794789293 101.86877588581385
87.0 173.863077803035 101.8652485384444
88.0 173.94330710414474 101.86373786582392
89.0 174.02008585764415 101.86640539445608
90.0 174.1011892925311 101.86573742138403
91.0 174.16735489412554 101.84737504611795
92.0 174.2488580966885 101.84740439700593
93.0 174.3309247787134 101.84760802541807
94.0 174.41339501038829 101.8482458726248
95.0 174.490131192672 101.84497741901156
96.0 174.57270659659721 101.84653156084865
97.0 174.65424410638536 101.84995099611717
98.0 174.73322096942601 101.85725868884718
99.0 174.81291119294085 101.86448741378317
100.0 174.88934832093437 101.86885638516013
101.0 174.97266624373307 101.87027337720892
102.0 175.05822640551833 101.87473752624035
103.0 175.14148925710967 101.87767710367106
104.0 175.2264634953548 101.88234897249507
105.0 175.31095592091307 101.88535888854315
106.0 175.39546909745692 101.89367104308012
107.0 175.47907279099468 101.90590913572511
108.0 175.54521587900206 101.93018917349465
109.0 175.62803334724984 101.94537250436234
110.0 175.70788365731482 101.95400247529145
111.0 175.79654767071824 101.96378128889711
112.0 175.8754035794501 101.98362116954766
113.0 175.95740594347942 101.98416871916719
114.0 176.0255983239249 101.97333528879771
115.0 176.09185762104104 102.01143252284324
116.0 176.15908588695854 102.03725320678643
117.0 176.2265778244025 102.06515207971825
118.0 176.31677225650628 102.0809781183254
119.0 176.40130178640297 102.09719975246952
120.0 176.47705891452821 102.11303614728496
121.0 176.57090648266978 102.12822944085731
122.0 176.63492576999036 102.15784341165316
123.0 176.70639772439665 102.19437400856673
124.0 176.7892504956864 102.2119230789276
125.0 176.8562961984824 102.25125709116163
126.0 176.94672737790418 102.26933345028647
127.0 177.03170185621138 102.28595199632477
128.0 177.12002561323962 102.30838797806818
129.0 177.1997231722987 102.3257838904784
130.0 177.283537923185 102.3450329025241
131.0 177.3444693054414 102.39350025716344
132.0 177.40440482030684 102.44018637066223
133.0 177.4767282675409 102.44627611096863
134.0 177.53323164920357 102.48066104496684
135.0 177.57761335579957 102.49666763419057
136.0 177.6550792497798 102.51890764374528
137.0 177.7058625509122 102.57492328610006
138.0 177.7638186371398 102.6152575780366
139.0 177.84312449034937 102.64634191907582
140.0 177.9196345974749 102.67161330766858
141.0 178.00502896971344 102.69779029368634
142.0 178.0888453560004 102.72467352008343
143.0 178.14975525709704 102.72219544398361
144.0 178.2342949715047 102.75179961779867
145.0 178.3156244355614 102.78133243876745
146.0 178.39079323082186 102.81472964684836
147.0 178.45983687705845 102.84866428632887
148.0 178.50868500177697 102.90679896437058
149.0 178.55361534403394 102.96944750564558
150.0 178.61516507864917 102.99462990939521
151.0 178.68308843639866 103.02135923466251
152.0 178.75628671111193 103.0574330014049
153.0 178.8262656719359 103.09627705843269
154.0 171.37416261268172 102.7163616235676
155.0 171.44220659582675 102.73230723509427
156.0 171.48188229192522 102.76414936041009
157.0 171.51716856131642 102.75208917438435
158.0 171.5765610644789 102.7695687209222
159.0 171.63475252069472 102.78888278982856
160.0 171.68890453291795 102.80592400852701
161.0 171.74480860975999 102.83220227116956
162.0 171.79994178383149 102.8611607164384
163.0 171.85112466113787 102.89210132537718
164.0 171.8999479348921 102.92556117347878
165.0 171.94818296420033 102.96163794949038
166.0 171.98712102768278 102.9947125060181
167.0 172.02934833852723 103.03625447242372
168.0 172.0714175312629 103.08056922415486
169.0 172.11005665366932 103.12765348229385
